ABC,ABC XYZ Bucket,Country1,Country2,Month,prodHier1,prodHier2,prodHier3,prodHier4,prodHier5,prodHier6,prodHier7,prodHier8,prodHier9,State,Time Stamp,Updated brand,XYZ,Abs Error,Accuracy Calculation,Bias,Error,Historical Forecast,Quarter,sales contribution,salesValue,Updated Actual,Week,Year
B,BY,,,April,USA,Mid West,Hi,Aerosol,Brand5,SHAF7,HA08,HA08-SHAF7,GT,Michigan,4/1/2022,Brand5,Y,1.339504585,0.962231676,0.037768324,1.339504585,36.80585383,1,6.89,35.46634924,35.46634924,13,2022
B,BY,,,May,USA,Mid West,Hi,Aerosol,Brand5,SHAF7,HA08,HA08-SHAF7,GT,Michigan,5/1/2022,Brand5,Y,1.619953517,0.932429146,0.067570854,1.619953517,25.59409952,1,6.89,23.974146,23.974146,18,2022
B,BY,,,June,USA,Mid West,Hi,Aerosol,Brand5,SHAF7,HA08,HA08-SHAF7,GT,Michigan,6/1/2022,Brand5,Y,4.992017598,0.635337735,0.364662265,4.992017598,18.68144498,1,6.89,13.68942738,13.68942738,22,2022
B,BZ,,,April,India,west,Hi,Aerosol,Brand5,SHLF4,HA08,HA08-SHLF4,GT,Goa,4/1/2022,Brand5,Z,7.188294956,0.402177598,0.597822402,7.188294956,19.2124261,1,2.2,12.02413114,12.02413114,13,2022
B,BZ,,,May,India,west,Hi,Aerosol,Brand5,SHLF4,HA08,HA08-SHLF4,GT,Goa,5/1/2022,Brand5,Z,0.144712485,0.983775634,-0.016224366,-0.144712485,8.774741615,1,2.2,8.9194541,8.9194541,18,2022
B,BZ,,,June,India,west,Hi,Aerosol,Brand5,SHLF4,HA08,HA08-SHLF4,GT,Goa,6/1/2022,Brand5,Z,6.55357589,-0.149103919,1.149103919,6.55357589,12.25678148,1,2.2,5.703205585,5.703205585,22,2022
B,BZ,,,April,USA,South West,Hi,Aerosol,Brand5,SHLF7,HA08,HA08-SHLF7,GT,Oklahoma,4/1/2022,Brand5,Z,11.50192638,0.450401785,0.549598215,11.50192638,32.429808,1,2.2,20.92788162,20.92788162,13,2022
B,BZ,,,May,USA,South West,Hi,Aerosol,Brand5,SHLF7,HA08,HA08-SHLF7,GT,Oklahoma,5/1/2022,Brand5,Z,4.857359707,0.572361590,0.427638410,4.857359707,16.21592711,1,2.2,11.3585674,11.3585674,18,2022
B,BZ,,,June,USA,South West,Hi,Aerosol,Brand5,SHLF7,HA08,HA08-SHLF7,GT,Oklahoma,6/1/2022,Brand5,Z,4.104567311,0.304844032,0.695155968,4.104567311,10.0090945,1,2.2,5.904527187,5.904527187,22,2022
B,BZ,,,April,India,west,Hi,Lmd,Brand4,UF1R,HA08,HA08-UF1R,GT,Goa,4/1/2022,Brand4,Z,33.35070352,-1.578907180,2.578907180,33.35070352,46.28281049,1,2.2,12.93210697,12.93210697,13,2022
B,BZ,,,May,India,west,Hi,Lmd,Brand4,UF1R,HA08,HA08-UF1R,GT,Goa,5/1/2022,Brand4,Z,4.0062866,,-1,-4.0062866,0,1,2.2,4.0062866,0,18,2022
B,BZ,,,June,India,west,Hi,Lmd,Brand4,UF1R,HA08,HA08-UF1R,GT,Goa,6/1/2022,Brand4,Z,2.327762604,,-1,-2.327762604,0,1,2.2,2.327762604,0,22,2022
B,BY,,,April,India,west,Personal Wash,Soap,Brand6,ACL14,HA09,HA09-ACL14,GT,Maharastra,4/1/2022,Brand6,Y,8.422626956,0.809818779,-0.190181221,-8.422626956,35.86474754,1,6.89,44.2873745,44.2873745,13,2022
B,BY,,,May,India,west,Personal Wash,Soap,Brand6,ACL14,HA09,HA09-ACL14,GT,Maharastra,5/1/2022,Brand6,Y,6.540403378,0.867029894,-0.132970106,-6.540403378,42.64661742,1,6.89,49.1870208,49.1870208,18,2022
B,BY,,,June,India,west,Personal Wash,Soap,Brand6,ACL14,HA09,HA09-ACL14,GT,Maharastra,6/1/2022,Brand6,Y,25.67795183,0.416993819,0.583006181,25.67795183,69.72199919,1,6.89,44.04404736,44.04404736,22,2022
A,AY,,,April,India,South,Personal Wash,Soap,Brand1,AGNA1H,HA09,HA09-AGNA1H,GT,Karnataka,4/1/2022,Brand1,Y,2.324549026,0.99,-0.01,-2.324549026,230.1303536,1,32.06,232.4549026,232.4549026,13,2022
A,AY,,,May,India,South,Personal Wash,Soap,Brand1,AGNA1H,HA09,HA09-AGNA1H,GT,Karnataka,5/1/2022,Brand1,Y,16.14640474,0.937128470,-0.062871530,-16.14640474,240.669436,1,32.06,256.8158407,256.8158407,18,2022
A,AY,,,June,India,South,Personal Wash,Soap,Brand1,AGNA1H,HA09,HA09-AGNA1H,GT,Karnataka,6/1/2022,Brand1,Y,32.21460089,0.862617724,0.137382276,32.21460089,266.7033704,1,32.06,234.4887695,234.4887695,22,2022
A,AY,,,April,India,East,Personal Wash,Soap,Brand1,AGNA2,HA09,HA09-AGNA2,GT,Sikkim,4/1/2022,Brand1,Y,2.221905289,0.99,-0.01,-2.221905289,219.9686236,1,32.06,222.1905289,222.1905289,13,2022
A,AY,,,May,India,East,Personal Wash,Soap,Brand1,AGNA2,HA09,HA09-AGNA2,GT,Sikkim,5/1/2022,Brand1,Y,13.11124629,0.928521050,0.071478950,13.11124629,196.5393216,1,32.06,183.4280753,183.4280753,18,2022
A,AY,,,June,India,East,Personal Wash,Soap,Brand1,AGNA2,HA09,HA09-AGNA2,GT,Sikkim,6/1/2022,Brand1,Y,31.18878143,0.868209078,-0.131790922,-31.18878143,205.4647068,1,32.06,236.6534882,236.6534882,22,2022
A,AY,,,April,India,South,Personal Wash,Soap,Brand1,AGNA3H,HA09,HA09-AGNA3H,GT,Karnataka,4/1/2022,Brand1,Y,2.759720512,0.99,-0.01,-2.759720512,273.2123307,1,32.06,275.9720512,275.9720512,13,2022
A,AY,,,May,India,South,Personal Wash,Soap,Brand1,AGNA3H,HA09,HA09-AGNA3H,GT,Karnataka,5/1/2022,Brand1,Y,11.26138621,0.953563793,0.046436207,11.26138621,253.7744346,1,32.06,242.5130484,242.5130484,18,2022
A,AY,,,June,India,South,Personal Wash,Soap,Brand1,AGNA3H,HA09,HA09-AGNA3H,GT,Karnataka,6/1/2022,Brand1,Y,3.090812739,0.99,-0.01,-3.090812739,305.9904612,1,32.06,309.0812739,309.0812739,22,2022
B,BX,,,April,USA,South East,Personal Wash,Soap,Brand1,AGNJCH,HA09,HA09-AGNJCH,GT,Florida,4/1/2022,Brand1,X,1.845878926,0.892014146,-0.107985854,-1.845878926,15.24783149,1,5.99,17.09371042,17.09371042,13,2022
B,BX,,,May,USA,South East,Personal Wash,Soap,Brand1,AGNJCH,HA09,HA09-AGNJCH,GT,Florida,5/1/2022,Brand1,X,0.458835041,0.980100001,-0.019899999,-0.458835041,22.59820326,1,5.99,23.0570383,23.0570383,18,2022
B,BX,,,June,USA,South East,Personal Wash,Soap,Brand1,AGNJCH,HA09,HA09-AGNJCH,GT,Florida,6/1/2022,Brand1,X,0.922546772,0.962220718,0.037779282,0.922546772,25.3419303,1,5.99,24.41938353,24.41938353,22,2022
C,CX,,,April,India,west,Personal Wash,Soap,Brand1,AGNNCH,HA09,HA09-AGNNCH,GT,Gujrat,4/1/2022,Brand1,X,0.255995924,0.965830557,-0.034169443,-0.255995924,7.235958879,1,0.56,7.491954803,7.491954803,13,2022
C,CX,,,May,India,west,Personal Wash,Soap,Brand1,AGNNCH,HA09,HA09-AGNNCH,GT,Gujrat,5/1/2022,Brand1,X,0.961842387,0.880865331,-0.119134669,-0.961842387,7.111730113,1,0.56,8.0735725,8.0735725,18,2022
C,CX,,,June,India,west,Personal Wash,Soap,Brand1,AGNNCH,HA09,HA09-AGNNCH,GT,Gujrat,6/1/2022,Brand1,X,1.541894977,0.837010570,-0.162989430,-1.541894977,7.918196852,1,0.56,9.460091829,9.460091829,22,2022
C,CX,,,April,USA,Mid West,Personal Wash,Soap,Brand1,AGNNCP,HA09,HA09-AGNNCP,GT,Michigan,4/1/2022,Brand1,X,0.255995924,0.965830557,-0.034169443,-0.255995924,7.235958879,1,0.56,7.491954803,7.491954803,13,2022
C,CX,,,May,USA,Mid West,Personal Wash,Soap,Brand1,AGNNCP,HA09,HA09-AGNNCP,GT,Michigan,5/1/2022,Brand1,X,0.961842387,0.880865331,-0.119134669,-0.961842387,7.111730113,1,0.56,8.0735725,8.0735725,18,2022
C,CX,,,June,USA,Mid West,Personal Wash,Soap,Brand1,AGNNCP,HA09,HA09-AGNNCP,GT,Michigan,6/1/2022,Brand1,X,1.541894977,0.837010570,-0.162989430,-1.541894977,7.918196852,1,0.56,9.460091829,9.460091829,22,2022
A,AY,,,April,USA,west,Personal Wash,Soap,Brand1,AGNSA,HA09,HA09-AGNSA,GT,Colorado,4/1/2022,Brand1,Y,3.472698669,0.99,-0.01,-3.472698669,343.7971682,1,32.06,347.2698669,347.2698669,13,2022
A,AY,,,May,USA,west,Personal Wash,Soap,Brand1,AGNSA,HA09,HA09-AGNSA,GT,Colorado,5/1/2022,Brand1,Y,42.4856325,0.866665174,-0.133334826,-42.4856325,276.1530443,1,32.06,318.6386768,318.6386768,18,2022
A,AY,,,June,USA,west,Personal Wash,Soap,Brand1,AGNSA,HA09,HA09-AGNSA,GT,Colorado,6/1/2022,Brand1,Y,4.018251343,0.99,-0.01,-4.018251343,397.806883,1,32.06,401.8251343,401.8251343,22,2022
A,AY,,,April,India,west,Personal Wash,Soap,Brand1,AGNSAH,HA09,HA09-AGNSAH,GT,Maharastra,4/1/2022,Brand1,Y,0.018716664,0.990000000,-0.010000000,-0.018716664,1.852949767,1,32.06,1.871666431,1.871666431,13,2022
A,AY,,,May,India,west,Personal Wash,Soap,Brand1,AGNSAH,HA09,HA09-AGNSAH,GT,Maharastra,5/1/2022,Brand1,Y,0.042908802,0.99,-0.01,-0.042908802,4.247971398,1,32.06,4.2908802,4.2908802,18,2022
A,AY,,,June,India,west,Personal Wash,Soap,Brand1,AGNSAH,HA09,HA09-AGNSAH,GT,Maharastra,6/1/2022,Brand1,Y,1.901480958,,-1,-1.901480958,0,1,32.06,1.901480958,0,22,2022
A,AY,,,April,USA,Mid West,Personal Wash,Soap,Brand1,AGNSB,HA09,HA09-AGNSB,GT,Illinois,4/1/2022,Brand1,Y,3.39004528,0.99,-0.01,-3.39004528,335.6144827,1,32.06,339.004528,339.004528,13,2022
A,AY,,,May,USA,Mid West,Personal Wash,Soap,Brand1,AGNSB,HA09,HA09-AGNSB,GT,Illinois,5/1/2022,Brand1,Y,47.80502598,0.834818015,0.165181985,47.80502598,337.2132563,1,32.06,289.4082303,289.4082303,18,2022
A,AY,,,June,USA,Mid West,Personal Wash,Soap,Brand1,AGNSB,HA09,HA09-AGNSB,GT,Illinois,6/1/2022,Brand1,Y,29.03198427,0.915328624,-0.084671376,-29.03198427,313.8463955,1,32.06,342.8783798,342.8783798,22,2022
A,AY,,,April,USA,South West,Personal Wash,Soap,Brand1,AGNSCH,HA09,HA09-AGNSCH,GT,New Mexico,4/1/2022,Brand1,Y,2.399676476,0.99,-0.01,-2.399676476,237.5679711,1,32.06,239.9676476,239.9676476,13,2022
A,AY,,,May,USA,South West,Personal Wash,Soap,Brand1,AGNSCH,HA09,HA09-AGNSCH,GT,New Mexico,5/1/2022,Brand1,Y,13.22847877,0.949192267,0.050807733,13.22847877,273.5919688,1,32.06,260.36349,260.36349,18,2022
A,AY,,,June,USA,South West,Personal Wash,Soap,Brand1,AGNSCH,HA09,HA09-AGNSCH,GT,New Mexico,6/1/2022,Brand1,Y,16.79289572,0.932902543,0.067097457,16.79289572,267.0690836,1,32.06,250.2761879,250.2761879,22,2022
C,CZ,,,April,USA,Mid West,Personal Wash,Soap,Brand8,AYOO7,HA09,HA09-AYOO7,GT,Michigan,4/1/2022,Brand8,Z,0.028046173,0.628579651,0.371420349,0.028046173,0.103556772,1,1.14,0.075510599,0.075510599,13,2022
C,CZ,,,May,USA,Mid West,Personal Wash,Soap,Brand8,AYOO7,HA09,HA09-AYOO7,GT,Michigan,5/1/2022,Brand8,Z,0.011247539,0.821448930,-0.178551070,-0.011247539,0.051745861,1,1.14,0.0629934,0.0629934,18,2022
C,CZ,,,June,USA,Mid West,Personal Wash,Soap,Brand8,AYOO7,HA09,HA09-AYOO7,GT,Michigan,6/1/2022,Brand8,Z,0.113355646,-9.960496413,10.960496413,0.113355646,0.123697846,1,1.14,0.0103422,0.0103422,22,2022
A,AX,,,April,India,South,Hair Color,Creme,Brand2,BMBB2T,HA09,HA09-BMBB2T,GT,Tamil Nadu,4/1/2022,Brand2,X,13.01496922,0.904808686,-0.095191314,-13.01496922,123.7093674,1,42.96,136.7243366,136.7243366,13,2022
A,AX,,,May,India,South,Hair Color,Creme,Brand2,BMBB2T,HA09,HA09-BMBB2T,GT,Tamil Nadu,5/1/2022,Brand2,X,3.106823175,0.977040443,0.022959557,3.106823175,138.4240309,1,42.96,135.3172077,135.3172077,18,2022
A,AX,,,June,India,South,Hair Color,Creme,Brand2,BMBB2T,HA09,HA09-BMBB2T,GT,Tamil Nadu,6/1/2022,Brand2,X,11.56632922,0.903466336,0.096533664,11.56632922,131.3828651,1,42.96,119.8165359,119.8165359,22,2022
B,BX,,,April,USA,Mid West,Hair Color,Creme,Brand2,BMBD2T,HA09,HA09-BMBD2T,GT,Michigan,4/1/2022,Brand2,X,6.437758307,0.773060941,-0.226939059,-6.437758307,21.93002619,1,5.99,28.3677845,28.3677845,13,2022
B,BX,,,May,USA,Mid West,Hair Color,Creme,Brand2,BMBD2T,HA09,HA09-BMBD2T,GT,Michigan,5/1/2022,Brand2,X,2.361872564,0.910239914,-0.089760086,-2.361872564,23.95129914,1,5.99,26.3131717,26.3131717,18,2022
B,BX,,,June,USA,Mid West,Hair Color,Creme,Brand2,BMBD2T,HA09,HA09-BMBD2T,GT,Michigan,6/1/2022,Brand2,X,1.967535463,0.919099248,-0.080900752,-1.967535463,22.3528252,1,5.99,24.32036066,24.32036066,22,2022
B,BX,,,April,USA,west,Hair Color,Creme,Brand2,BMBN2T,HA09,HA09-BMBN2T,GT,Colorado,4/1/2022,Brand2,X,5.931864045,0.868884402,-0.131115598,-5.931864045,39.30961869,1,5.99,45.24148273,45.24148273,13,2022
B,BX,,,May,USA,west,Hair Color,Creme,Brand2,BMBN2T,HA09,HA09-BMBN2T,GT,Colorado,5/1/2022,Brand2,X,0.597999274,0.985890218,0.014109782,0.597999274,42.97989157,1,5.99,42.3818923,42.3818923,18,2022
B,BX,,,June,USA,west,Hair Color,Creme,Brand2,BMBN2T,HA09,HA09-BMBN2T,GT,Colorado,6/1/2022,Brand2,X,5.05185148,0.864624341,0.135375659,5.05185148,42.36913225,1,5.99,37.31728077,37.31728077,22,2022
A,AZ,,,April,USA,west,Fabric Care,Liquid Detergent,Brand3,CEBR1,HA09,HA09-CEBR1,GT,Alaska,4/1/2022,Brand3,Z,0.017106359,0.995243838,0.004756162,0.017106359,3.613779371,1,4.9,3.596673012,3.596673012,13,2022
A,AZ,,,May,USA,west,Fabric Care,Liquid Detergent,Brand3,CEBR1,HA09,HA09-CEBR1,GT,Alaska,5/1/2022,Brand3,Z,2.054416794,0.535159468,-0.464840532,-2.054416794,2.365199506,1,4.9,4.4196163,4.4196163,18,2022
A,AZ,,,June,USA,west,Fabric Care,Liquid Detergent,Brand3,CEBR1,HA09,HA09-CEBR1,GT,Alaska,6/1/2022,Brand3,Z,1.263111956,0.774460786,-0.225539214,-1.263111956,4.337297552,1,4.9,5.600409508,5.600409508,22,2022
B,BZ,,,April,India,North,Fabric Care,Liquid Detergent,Brand3,CEBR2,HA09,HA09-CEBR2,GT,Punjab,4/1/2022,Brand3,Z,0.949615365,0.256407725,0.743592275,0.949615365,2.226679957,1,2.2,1.277064592,1.277064592,13,2022
B,BZ,,,May,India,North,Fabric Care,Liquid Detergent,Brand3,CEBR2,HA09,HA09-CEBR2,GT,Punjab,5/1/2022,Brand3,Z,0.424925393,0.681418725,0.318581275,0.424925393,1.758730693,1,2.2,1.3338053,1.3338053,18,2022
B,BZ,,,June,India,North,Fabric Care,Liquid Detergent,Brand3,CEBR2,HA09,HA09-CEBR2,GT,Punjab,6/1/2022,Brand3,Z,0.359928427,0.767217819,0.232782181,0.359928427,1.906131087,1,2.2,1.54620266,1.54620266,22,2022
A,AZ,,,April,India,East,Fabric Care,Liquid Detergent,Brand3,CEBR5,HA09,HA09-CEBR5,GT,Sikkim,4/1/2022,Brand3,Z,0.767574477,0.708754284,-0.291245716,-0.767574477,1.867913139,1,4.9,2.635487616,2.635487616,13,2022
A,AZ,,,May,India,East,Fabric Care,Liquid Detergent,Brand3,CEBR5,HA09,HA09-CEBR5,GT,Sikkim,5/1/2022,Brand3,Z,1.24665028,-0.038532154,-0.509450956,-1.24665028,1.20039642,1,4.9,2.4470467,1.20039642,18,2022
A,AZ,,,June,India,East,Fabric Care,Liquid Detergent,Brand3,CEBR5,HA09,HA09-CEBR5,GT,Sikkim,6/1/2022,Brand3,Z,0.699368421,0.754157206,-0.245842794,-0.699368421,2.145410594,1,4.9,2.844779015,2.844779015,22,2022
A,AZ,,,April,USA,North East,Fabric Care,Liquid Detergent,Brand3,CEPR4,HA09,HA09-CEPR4,GT,New York,4/1/2022,Brand3,Z,4.961322011,-1.306147911,2.306147911,4.961322011,7.112667979,1,4.9,2.151345968,2.151345968,13,2022
A,AZ,,,May,USA,North East,Fabric Care,Liquid Detergent,Brand3,CEPR4,HA09,HA09-CEPR4,GT,New York,5/1/2022,Brand3,Z,0.899791873,0.776199351,-0.223800649,-0.899791873,3.120714227,1,4.9,4.0205061,4.0205061,18,2022
A,AZ,,,June,USA,North East,Fabric Care,Liquid Detergent,Brand3,CEPR4,HA09,HA09-CEPR4,GT,New York,6/1/2022,Brand3,Z,0.905404123,0.765345051,0.234654949,0.905404123,4.763852986,1,4.9,3.858448863,3.858448863,22,2022
B,BZ,,,April,India,west,Fabric Care,Liquid Detergent,Brand3,CESR3,HA09,HA09-CESR3,GT,Goa,4/1/2022,Brand3,Z,0.392715743,0.317558836,0.682441164,0.392715743,0.968173033,1,2.2,0.57545729,0.57545729,13,2022
B,BZ,,,May,India,west,Fabric Care,Liquid Detergent,Brand3,CESR3,HA09,HA09-CESR3,GT,Goa,5/1/2022,Brand3,Z,0.5154275,,-1,-0.5154275,0,1,2.2,0.5154275,0,18,2022
B,BZ,,,June,India,west,Fabric Care,Liquid Detergent,Brand3,CESR3,HA09,HA09-CESR3,GT,Goa,6/1/2022,Brand3,Z,0.167719162,0.751343978,-0.248656022,-0.167719162,0.506783553,1,2.2,0.674502715,0.674502715,22,2022
C,CZ,,,April,USA,Mid West,Hi,Coil,Brand4,LGMP8,HA09,HA09-LGMP8,GT,Michigan,4/1/2022,Brand4,Z,2.017411204,0.685369534,-0.314630466,-2.017411204,4.394590883,1,1.14,6.412002087,6.412002087,13,2022
C,CZ,,,May,USA,Mid West,Hi,Coil,Brand4,LGMP8,HA09,HA09-LGMP8,GT,Michigan,5/1/2022,Brand4,Z,0.70508668,0.829569985,-0.170430015,-0.70508668,3.43201722,1,1.14,4.1371039,4.1371039,18,2022
C,CZ,,,June,USA,Mid West,Hi,Coil,Brand4,LGMP8,HA09,HA09-LGMP8,GT,Michigan,6/1/2022,Brand4,Z,0.120769282,0.955472406,0.044527594,0.120769282,2.833003898,1,1.14,2.712234616,2.712234616,22,2022
A,AZ,,,April,USA,North East,Hi,Coil,Brand4,LGNC8,HA09,HA09-LGNC8,GT,Vermont,4/1/2022,Brand4,Z,0.429235447,0.99,-0.01,-0.429235447,42.49430925,1,4.9,42.9235447,42.9235447,13,2022
A,AZ,,,May,USA,North East,Hi,Coil,Brand4,LGNC8,HA09,HA09-LGNC8,GT,Vermont,5/1/2022,Brand4,Z,1.173728408,0.913605558,0.086394442,1.173728408,14.75942191,1,4.9,13.5856935,13.5856935,18,2022
A,AZ,,,June,USA,North East,Hi,Coil,Brand4,LGNC8,HA09,HA09-LGNC8,GT,Vermont,6/1/2022,Brand4,Z,19.24203131,-1.682530563,2.682530563,19.24203131,26.41512062,1,4.9,7.173089311,7.173089311,22,2022
A,AZ,,,April,USA,North East,Hi,Refill,Brand4,RFL1R,HA09,HA09-RFL1R,GT,Rhode Island,4/1/2022,Brand4,Z,1.022834456,0.99,-0.01,-1.022834456,101.2606111,1,4.9,102.2834456,102.2834456,13,2022
A,AZ,,,May,USA,North East,Hi,Refill,Brand4,RFL1R,HA09,HA09-RFL1R,GT,Rhode Island,5/1/2022,Brand4,Z,43.7905414,,-1,-43.7905414,0,1,4.9,43.7905414,0,18,2022
A,AZ,,,June,USA,North East,Hi,Refill,Brand4,RFL1R,HA09,HA09-RFL1R,GT,Rhode Island,6/1/2022,Brand4,Z,0.975644676,0.961203232,0.038796768,0.975644676,26.12322076,1,4.9,25.14757608,25.14757608,22,2022
A,AY,,,April,USA,North East,Hi,Aerosol,Brand5,SHAC2,HA09,HA09-SHAC2,GT,New Jersey,4/1/2022,Brand5,Y,2.664917635,0.917686708,-0.082313292,-2.664917635,29.71038372,1,32.06,32.37530136,32.37530136,13,2022
A,AY,,,May,USA,North East,Hi,Aerosol,Brand5,SHAC2,HA09,HA09-SHAC2,GT,New Jersey,5/1/2022,Brand5,Y,10.12938616,0.760327950,-0.239672050,-10.12938616,32.13414094,1,32.06,42.2635271,42.2635271,18,2022
A,AY,,,June,USA,North East,Hi,Aerosol,Brand5,SHAC2,HA09,HA09-SHAC2,GT,New Jersey,6/1/2022,Brand5,Y,3.196361785,0.935058275,0.064941725,3.196361785,52.41528535,1,32.06,49.21892357,49.21892357,22,2022
A,AY,,,April,India,East,Hi,Aerosol,Brand5,SHAF2,HA09,HA09-SHAF2,GT,Manipur,4/1/2022,Brand5,Y,21.99088861,0.211341304,0.788658696,21.99088861,49.87479927,1,32.06,27.88391066,27.88391066,13,2022
A,AY,,,May,India,East,Hi,Aerosol,Brand5,SHAF2,HA09,HA09-SHAF2,GT,Manipur,5/1/2022,Brand5,Y,3.404214621,0.848633805,0.151366195,3.404214621,25.89414122,1,32.06,22.4899266,22.4899266,18,2022
A,AY,,,June,India,East,Hi,Aerosol,Brand5,SHAF2,HA09,HA09-SHAF2,GT,Manipur,6/1/2022,Brand5,Y,13.53899932,0.391161744,0.608838256,13.53899932,35.77643132,1,32.06,22.237432,22.237432,22,2022
A,AY,,,April,India,North,Hi,Aerosol,Brand5,SHAF4,HA09,HA09-SHAF4,GT,Delhi,4/1/2022,Brand5,Y,19.34512248,0.462259544,0.537740456,19.34512248,55.3199543,1,32.06,35.97483182,35.97483182,13,2022
A,AY,,,May,India,North,Hi,Aerosol,Brand5,SHAF4,HA09,HA09-SHAF4,GT,Delhi,5/1/2022,Brand5,Y,0.028442997,0.998976507,-0.001023493,-0.028442997,27.7616671,1,32.06,27.7901101,27.7901101,18,2022
A,AY,,,June,India,North,Hi,Aerosol,Brand5,SHAF4,HA09,HA09-SHAF4,GT,Delhi,6/1/2022,Brand5,Y,6.904629432,0.712959127,0.287040873,6.904629432,30.95914598,1,32.06,24.05451655,24.05451655,22,2022
A,AY,,,April,USA,Mid West,Hi,Aerosol,Brand5,SHAF7,HA09,HA09-SHAF7,GT,Indiana,4/1/2022,Brand5,Y,2.373198395,0.939459453,0.060540547,2.373198395,41.57334615,1,32.06,39.20014775,39.20014775,13,2022
A,AY,,,May,USA,Mid West,Hi,Aerosol,Brand5,SHAF7,HA09,HA09-SHAF7,GT,Indiana,5/1/2022,Brand5,Y,1.224164083,0.952018965,0.047981035,1.224164083,26.73766278,1,32.06,25.5134987,25.5134987,18,2022
A,AY,,,June,USA,Mid West,Hi,Aerosol,Brand5,SHAF7,HA09,HA09-SHAF7,GT,Indiana,6/1/2022,Brand5,Y,1.094607101,0.945010774,-0.054989226,-1.094607101,18.8112395,1,32.06,19.9058466,19.9058466,22,2022
A,AZ,,,April,India,East,Hi,Lmd,Brand4,UF1R,HA09,HA09-UF1R,GT,Sikkim,4/1/2022,Brand4,Z,48.58573627,,-1,-48.58573627,0,1,4.9,48.58573627,0,13,2022
A,AZ,,,May,India,East,Hi,Lmd,Brand4,UF1R,HA09,HA09-UF1R,GT,Sikkim,5/1/2022,Brand4,Z,15.7526509,,-1,-15.7526509,0,1,4.9,15.7526509,0,18,2022
A,AZ,,,June,India,East,Hi,Lmd,Brand4,UF1R,HA09,HA09-UF1R,GT,Sikkim,6/1/2022,Brand4,Z,7.718353509,-7.124694368,-0.890407288,-7.718353509,0.949986936,1,4.9,8.668340445,0.949986936,22,2022
A,AY,,,April,USA,South East,Personal Wash,Soap,Brand1,AGNA1H,HA10,HA10-AGNA1H,GT,Georgia,4/1/2022,Brand1,Y,22.5545815,0.706927595,-0.293072405,-22.5545815,54.40449443,1,32.06,76.95907593,76.95907593,13,2022
A,AY,,,May,USA,South East,Personal Wash,Soap,Brand1,AGNA1H,HA10,HA10-AGNA1H,GT,Georgia,5/1/2022,Brand1,Y,12.71288139,0.914853889,-0.085146111,-12.71288139,136.5937778,1,32.06,149.3066592,149.3066592,18,2022
A,AY,,,June,USA,South East,Personal Wash,Soap,Brand1,AGNA1H,HA10,HA10-AGNA1H,GT,Georgia,6/1/2022,Brand1,Y,0.729004018,0.993972562,-0.006027438,-0.729004018,120.2185744,1,32.06,120.9475784,120.9475784,22,2022
A,AY,,,April,USA,west,Personal Wash,Soap,Brand1,AGNA3H,HA10,HA10-AGNA3H,GT,California,4/1/2022,Brand1,Y,25.66149267,0.909308666,-0.090691334,-25.66149267,257.2926934,1,32.06,282.9541861,282.9541861,13,2022
A,AY,,,May,USA,west,Personal Wash,Soap,Brand1,AGNA3H,HA10,HA10-AGNA3H,GT,California,5/1/2022,Brand1,Y,20.09582341,0.946509641,-0.053490359,-20.09582341,355.5947445,1,32.06,375.6905679,375.6905679,18,2022
A,AY,,,June,USA,west,Personal Wash,Soap,Brand1,AGNA3H,HA10,HA10-AGNA3H,GT,California,6/1/2022,Brand1,Y,3.778133232,0.99,-0.01,-3.778133232,374.03519,1,32.06,377.8133232,377.8133232,22,2022
A,AY,,,April,USA,Mid West,Personal Wash,Soap,Brand1,AGNSA,HA10,HA10-AGNSA,GT,Indiana,4/1/2022,Brand1,Y,3.433485107,0.99,-0.01,-3.433485107,339.9150256,1,32.06,343.3485107,343.3485107,13,2022
A,AY,,,May,USA,Mid West,Personal Wash,Soap,Brand1,AGNSA,HA10,HA10-AGNSA,GT,Indiana,5/1/2022,Brand1,Y,4.970279512,0.99,-0.01,-4.970279512,492.0576717,1,32.06,497.0279512,497.0279512,18,2022
A,AY,,,June,USA,Mid West,Personal Wash,Soap,Brand1,AGNSA,HA10,HA10-AGNSA,GT,Indiana,6/1/2022,Brand1,Y,4.667952271,0.99,-0.01,-4.667952271,462.1272748,1,32.06,466.7952271,466.7952271,22,2022
A,AY,,,April,India,west,Personal Wash,Soap,Brand1,AGNSCH,HA10,HA10-AGNSCH,GT,Gujrat,4/1/2022,Brand1,Y,14.75655166,0.788341336,-0.211658664,-14.75655166,54.96207627,1,32.06,69.71862793,69.71862793,13,2022
A,AY,,,May,India,west,Personal Wash,Soap,Brand1,AGNSCH,HA10,HA10-AGNSCH,GT,Gujrat,5/1/2022,Brand1,Y,4.103865415,0.966556365,-0.033443635,-4.103865415,118.6060434,1,32.06,122.7099088,122.7099088,18,2022
A,AY,,,June,India,west,Personal Wash,Soap,Brand1,AGNSCH,HA10,HA10-AGNSCH,GT,Gujrat,6/1/2022,Brand1,Y,7.075371268,0.937226363,-0.062773637,-7.075371268,105.6370921,1,32.06,112.7124634,112.7124634,22,2022
